release	nodes	arcs	loops	successoravggap	avglocality	minoutdegree	maxoutdegree	minoutdegreenode	maxoutdegreenode	dangling	terminal	percdangling	avgoutdegree	successorlogdeltastats	successoravglogdelta	minindegree	maxindegree	minindegreenode	maxindegreenode	avgindegree	sccs	maxsccsize	percmaxscc	minsccsize	percminscc
cc-main-2019-20-nov-dec-jan	1236811949	4539340950	0	12851283.263	154409700.755	0	1604186	0	620298733	1173648009	1173648009	94.89300373827484	3.6701949343796323	7814238,8170652,10717350,14956449,22437409,31383185,45715160,43428348,49212278,66411274,91303492,125771998,159693296,154058221,118995583,115641880,163679063,198547435,70371925,55470728,66201756,78691465,90496946,126772370,188434980,269827930,429379258,663326624,777137166,275134000,20158491	11.131	0	20954040	1236811911	329338271	3.6701949343796323	1191209460	44695092	3.613733844998614	1	8.085303516096609E-8
cc-main-2020-feb-mar-may	927132915	3884600740	0	16440386.048	158306762.410	0	1547753	0	843364809	857361419	857361419	92.47448829923161	4.18990705340237	8302618,8364544,10727558,15032617,21169288,27681279,34320582,40096969,45736751,56516128,72719612,100356976,126988770,115808032,82828588,70291833,84972358,81161889,77866756,70784509,81364442,92302511,80464529,106388583,167680931,298638562,428561498,582139873,618461992,276870162	11.324	0	22434038	927132870	550827421	4.18990705340237	878497805	47481436	5.121319201573164	1	1.0785940007318152E-7
cc-main-2020-jul-aug-sep	538570861	3021307494	0	10541600.463	91085732.019	0	57364265	0	12396600	466848789	466848789	86.68289036899826	5.609860675325322	9000873,9439341,13012913,19124445,27036452,32504870,31446085,27962931,27526415,33429605,39929361,43584911,42738795,34925592,28346853,25077381,29337226,37452592,49137797,62394447,81014196,96729103,90537656,142425147,233844694,470627669,473621378,588532484,220506575,59707	11.505	0	22816100	538570794	283253781	5.609860675325322	490647678	45669713	8.47979649608262	1	1.8567658824750267E-7
cc-main-2020-21-oct-nov-jan	490193249	2575254142	0	11146419.121	89789188.144	0	2033605	0	15539994	413872637	413872637	84.43050528425373	5.253548773373661	8445234,8628327,11711911,17636910,27612277,42268399,51732071,31778506,26589497,30131268,36057431,47806064,51111322,38478430,29449200,23337716,26429702,36570790,45206424,53995311,58238281,63455416,74167277,102190919,177265575,331904205,440931235,498682015,183442429	11.199	0	21922167	490193222	246638621	5.253548773373661	446400514	42595563	8.689545008401371	1	2.040011775029566E-7
cc-main-2021-feb-apr-may	514570179	2816716559	0	10268711.228	85538461.743	0	7440499	0	379159778	452077824	452077824	87.8554262274884	5.473921097553537	7749844,7405199,9519244,13630182,19559323,25215400,26796079,28788721,35216851,39377282,40027439,46155312,44048515,34874571,30717003,34631704,50599752,68121293,75136158,64139686,77456462,93740495,92312383,108982155,191823589,350816269,484915547,536924307,178035794	11.329	0	22664786	514570149	260310736	5.473921097553537	468698715	45186670	8.781439703290696	1	1.943369516561122E-7
cc-main-2021-jun-jul-sep	765504147	4947819344	0	11034221.210	106308381.983	0	6588192	0	481081298	701377888	701377888	91.62300305605007	6.463478171072533	8072979,7687753,9754624,13831879,19772521,27370920,35929497,49977418,75556092,115827651,173133516,230295685,244715459,280411519,191827274,135835378,185819538,124183348,62039899,67612562,86770454,115350381,149282469,205093424,228251977,269834103,442683690,550283603,706947073,133666658	10.396	0	23015178	765504118	200339057	6.463478171072533	717613769	47041576	6.145175853632574	1	1.3063286514109506E-7
cc-main-2021-22-oct-nov-jan	384849412	2472924097	0	10590406.024	88873037.602	0	7778640	0	118088508	325533398	325533398	84.5872145960301	6.425692803189212	7410063,6498699,7715975,10294771,13690830,16993771,17856226,18898417,20974331,22466969,26031855,30527832,30676415,27063013,23881523,25853378,34736717,40209917,45779938,51128562,61497836,70849992,77670758,103503975,174392160,322369819,478440994,584387830,121121531	11.725	0	22650832	384849386	119963017	6.425692803189212	339051860	45194279	11.743367039365516	1	2.598418936911355E-7
cc-main-2022-may-jun-aug	449151318	2693286778	0	11319570.359	95379943.501	0	4936642	0	126172258	388891963	388891963	86.58372967303639	5.996390681859248	7378777,6270404,7290917,9722287,13224867,16412932,16065108,15840171,18567292,21863483,27286176,33944709,38875071,33946742,30729866,36456125,44821603,47962506,49679247,61093423,79665302,91300673,83497888,116243126,190827368,317105224,442826147,635165217,199224127	11.734	0	22738744	449151256	178026594	5.996390681859248	402142596	46377180	10.32551350545074	1	2.2264211634796983E-7
cc-main-2022-23-sep-nov-jan	324703686	2630857060	0	8201292.797	74823702.770	0	5486222	0	170377467	268370331	268370331	82.65084215890299	8.10233198276659	7014634,6085205,7248691,9768891,13248300,16343424,16137426,15833806,17183389,18935533,20306005,25516001,29513026,28360036,23219317,22773267,32206441,42343316,52344490,63574963,80471096,95753685,94294704,134384309,221992241,380181083,561032206,553678410,41113165	11.747	0	21233480	324703625	101625084	8.10233198276659	280994530	43146906	13.288086295392409	1	3.0797309766295663E-7
cc-main-2023-mar-may-oct	378733557	2609508328	0	9429752.388	89646599.558	0	6025628	0	302839287	321355151	321355151	84.84992815146823	6.890090090432626	7340975,6231398,7252949,9605235,12891545,15705859,15175499,15485231,18485489,20455418,20723811,23744726,26405646,21186983,19909524,19293475,23517258,35069443,45352432,48100477,59223891,71027466,88257307,128390774,213223499,366123819,525572642,624245788,121509769	11.945	0	21457593	378733511	117484871	6.890090090432626	333983086	44209975	11.673107434734124	1	2.640378655435594E-7
